testname,SGA,RGA,IGA
i160-111,2091.736000,6127.583000,6619.433000
i160-112,2157.926000,4933.125000,6801.064000
i160-113,1993.880000,4873.530000,6741.373000
i160-114,2031.083000,4244.605000,6716.206000
i160-115,1893.574000,4669.377000,6464.073000
i160-121,3556.496000,16514.900000,23820.301000
i160-122,3537.299000,16756.610000,24119.850000
i160-123,3552.423000,19931.169000,21453.938000
i160-124,3993.695000,16143.509000,21564.805000
i160-125,3798.740000,15241.565000,22284.881000
i160-131,1716.816000,3251.624000,3976.710000
i160-132,1966.543000,3561.137000,4352.736000
i160-133,2080.800000,3632.735000,4040.371000
i160-134,1825.655000,3299.412000,4408.039000
i160-135,1956.362000,3525.660000,4708.824000
i160-141,2248.930000,6588.845000,9072.204000
i160-142,2287.354000,6334.226000,8301.944000
i160-143,2230.867000,6390.961000,8925.892000
i160-144,2206.959000,6591.565000,8677.498000
i160-145,2125.135000,6346.095000,8792.925000
i160-201,2354.765000,4824.798000,6597.700000
i160-202,2472.712000,5873.321000,6528.214000
i160-203,2445.483000,5746.519000,6412.143000
i160-204,2651.120000,5381.689000,6597.105000
i160-205,2483.794000,5461.832000,6097.919000
i160-211,2573.106000,5154.934000,6802.494000
i160-212,2444.376000,5194.584000,6746.888000
i160-213,2519.835000,5999.609000,7959.025000
i160-214,2550.794000,5002.559000,7172.852000
i160-215,2756.105000,4841.633000,6645.269000
i160-221,4109.736000,15720.618000,21703.374000
i160-222,4088.262000,16342.582000,22216.588000
i160-223,4118.832000,16677.055000,22904.313000
i160-224,3943.925000,17351.146000,22368.708000
i160-225,4029.066000,14777.874000,22612.999000
i160-231,2421.605000,4001.172000,4923.980000
i160-232,2420.112000,3946.563000,5750.509000
i160-233,2226.491000,3979.255000,5906.767000
i160-234,2159.997000,4064.948000,5408.071000
i160-235,2179.408000,4390.604000,5386.744000
i160-241,2879.986000,6979.835000,9834.120000
i160-242,2771.663000,7077.407000,9765.593000
i160-243,2683.597000,7099.306000,9552.894000
i160-244,2807.364000,6873.170000,9239.411000
i160-245,2973.464000,7043.173000,9771.042000
i160-301,3196.400000,5867.020000,8617.416000
i160-302,3179.231000,5833.861000,7764.351000
i160-303,3071.224000,5938.615000,7746.726000
i160-304,3032.385000,6245.061000,7963.062000
i160-305,3183.077000,6393.556000,7804.092000
i160-311,3409.408000,6030.599000,8132.736000
i160-312,3297.820000,5635.837000,7896.615000
i160-313,3038.294000,5928.603000,7989.684000
i160-314,3096.543000,5577.642000,7986.169000
i160-315,3284.816000,5668.404000,7833.542000
i160-321,4699.919000,15893.016000,23801.249000
i160-322,5102.883000,16045.985000,23529.463000
i160-323,4763.111000,15685.020000,23345.324000
i160-324,4514.474000,18222.911000,23659.480000
i160-325,4824.561000,15738.810000,31528.113000
i160-331,2763.213000,5362.078000,7473.871000
i160-332,2746.715000,5339.202000,7746.141000
i160-333,2627.028000,5168.511000,7525.213000
i160-334,2665.949000,5199.932000,7170.816000
i160-335,2843.384000,5556.427000,7687.934000
i160-341,3496.575000,7851.855000,12581.012000
i160-342,3404.734000,7686.660000,11581.004000
i160-343,3469.240000,7624.623000,11265.553000
i160-344,3533.113000,7917.311000,11545.264000
i160-345,3424.340000,7844.234000,11187.189000
testname,SGA,RGA,IGA
c01,2300.431000,4319.925000,6784.786000
c02,2839.317000,5004.667000,7349.372000
c03,6861.879000,11165.070000,16786.277000
c04,8318.949000,14089.533000,19814.438000
c05,12046.096000,18867.186000,26519.619000
c06,2284.708000,5271.257000,8387.849000
c07,2406.048000,5503.271000,9981.670000
c08,5494.504000,11010.655000,20692.656000
c09,6764.959000,14614.819000,24685.164000
c10,9863.307000,20139.286000,33879.736000
c11,2184.033000,6348.437000,12634.940000
c12,2548.259000,6931.648000,15931.881000
c13,5977.483000,12698.669000,25083.225000
c14,6555.141000,14341.699000,38629.159000
c15,9700.114000,20096.518000,40547.327000
c16,6737.405000,17104.110000,44668.916000
c17,5931.082000,18429.483000,42047.105000
c18,9421.420000,25035.077000,45869.579000
c19,9488.091000,25360.905000,55196.748000
c20,14011.174000,29728.052000,55971.072000
d01,2855.102000,6145.903000,11611.388000
d02,3421.279000,7410.238000,15120.101000
d03,12897.078000,21965.530000,41038.439000
d04,14914.221000,26399.534000,57375.296000
d05,23669.491000,38110.895000,68782.492000
d06,3120.358000,7144.769000,14674.007000
d07,3250.316000,7626.567000,14988.256000
d08,12860.195000,22088.866000,44590.526000
d09,17267.800000,28867.834000,53883.476000
d10,27181.567000,39924.605000,207489.275000
d11,4619.017000,11551.566000,219078.054000
d12,4744.462000,12318.791000,268400.042000
d13,12675.659000,24808.884000,296377.999000
d14,16730.427000,29893.747000,167899.106000
d15,26051.153000,40806.481000,149335.480000
d16,20161.013000,37104.438000,533940.736000
d17,8378.132000,37774.993000,501103.552000
d18,15072.466000,57156.394000,594458.910000
d19,18781.099000,47572.979000,586272.296000
d20,25072.420000,64913.481000,603166.896000
antiwheel5,988.164000,2306.345000,7920.026000
design432,930.233000,2012.020000,10844.167000
oddcycle3,877.211000,1669.964000,5679.324000
oddwheel3,852.177000,1613.177000,5685.050000
se03,1027.045000,2494.022000,7900.402000
w13c29,18417.521000,34832.549000,164739.877000
w23c23,25104.825000,48634.404000,147338.573000
w3c571,427730.240000,435108.788000,565661.048000
e01,4895.246000,12194.136000,21694.940000
e02,6353.826000,13174.389000,24600.656000
e03,33569.279000,56831.173000,101236.139000
e04,40308.301000,68567.278000,132495.023000
e05,60031.194000,105731.578000,178229.996000
e06,4844.489000,14026.692000,26162.098000
e07,5570.162000,15402.878000,27211.253000
e08,30277.503000,58738.212000,95991.398000
e09,40967.750000,76120.581000,128089.637000
e10,59641.725000,106875.233000,189984.485000
e11,6314.316000,31365.461000,57589.067000
e12,7643.645000,30431.074000,54088.282000
e13,32691.599000,85519.653000,123348.774000
e14,40639.443000,85327.022000,197528.927000
